sp_no,common_name,latin_1,latin_2,latin_3,latin_4,latin_5,latin_6,latin_7,latin_8,latin_9,latin_10
1,amethyst deceiver,Laccaria amethystina,Agaricus amethysteus,Laccaria amethystea,Omphalia amethystea,Agaricus lividopurpureus,na,na,na,na,na
2,bolete,Boletus edulis,Boletus piperatus,Boletus scabrum,Leccinum scabrum,Boletus scaber,Krombholziella scabra,Leccinum roseofractum,Boletus avellaneus,na,na
3,chanterelle,Cantharellus cibarius,na,na,na,na,na,na,na,na,na
4,chicken of the woods,Laetiporus sulphureus,na,na,na,na,na,na,na,na,na
5,death cap,Amanita phalloides,Amanita verna,na,na,na,na,na,na,na,na
6,false chanterelle,Hygrophoropsis aurantiaca,Cantharellus aurantiacus,Agaricus aurantiacus,Merulius aurantiacus,Merulius nigripes,Agaricus subcantharellus,Clitocybe aurantiaca,na,na,na
7,false morel,Gyromitra esculenta,Helvella esculenta,Physomitra esculenta,na,na,na,na,na,na,na
8,fibrecap,Inocybe geophylla,Agaricus geophyllus,Inocybe clarkii,Inocybe erubescens,Inocybe patouillardii,na,na,na,na,na
9,field mushroom,Agaricus arvensis,Agaricus campestris,Pratella campestris,Psalliota campestris,na,na,na,na,na,na
10,fly agaric,Amanita muscaria,na,na,na,na,na,na,na,na,na
11,giant puffball,Calvatia gigantea,Lycoperdon giganteum,Bovista gigantea,Langermannia gigantea,Lasiosphaera gigantea,na,na,na,na,na
12,grey oyster,Pleurotus ostreatus,Agaricus ostreatus,Crepidopus ostreatus,Pleurotus columbinus,na,na,na,na,na,na
13,morel,Morchella esculenta,Morchella vulgaris,Morchella semilibera,Morchella importuna,na,na,na,na,na,na
14,orange peel,Aleuria aurantia,Peziza aurantia,Scodellina aurantia,Peziza coccinea,Helvella coccinea,na,na,na,na,na
15,roundhead,Stropharia caerulea,Stropharia aeruginosa,Agaricus aeruginosus,Pratella aeruginosa,na,na,na,na,na,na
16,saddle,Helvella crispa,Helvella mitra,Phallus crispus,Helvella lacunosa,Helvella scutula,Helvella sulcata,Helvella leucophaea,Helvella subcostata ,Helvella costata,Helvella cinerea
17,shaggy inkcap,Coprinus comatus,na,na,na,na,na,na,na,na,na
18,stinkhorn,Phallus impudicus,Dictyophora duplicata,na,na,na,na,na,na,na,na
19,waxcap,Hygrocybe chlorophana,Hygrocybe euroflavescens,Hygrophorus euroflavescens,Hygrophorus chlorophanus,Hygrocybe flavescens,Hygrocybe coccinea,Agaricus coccineus,Hygrophorus coccineus,na,na
20,yellow stainer,Agaricus xanthodermus,Psalliota flavescens,Psalliota xanthoderma,na,na,na,na,na,na,na